class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.0
1,aquarium_fish,477,477,many,0.0
2,baby,455,455,many,0.0
3,bear,434,434,many,0.0
4,beaver,415,415,many,0.0
5,bed,396,396,many,0.0
6,bee,378,378,many,0.0
7,beetle,361,361,many,0.0
8,bicycle,344,344,many,0.0
9,bottle,328,328,many,0.009146341463414634
10,bowl,314,314,many,0.0
11,boy,299,299,many,0.0
12,bridge,286,286,many,0.027972027972027972
13,bus,273,273,many,0.014652014652014652
14,butterfly,260,260,many,0.026923076923076925
15,camel,248,248,many,0.008064516129032258
16,can,237,237,many,0.029535864978902954
17,castle,226,226,many,0.12389380530973451
18,caterpillar,216,216,many,0.05092592592592592
19,cattle,206,206,many,0.024271844660194174
20,chair,197,197,many,0.2639593908629442
21,chimpanzee,188,188,many,0.10106382978723404
22,clock,179,179,many,0.055865921787709494
23,cloud,171,171,many,0.14035087719298245
24,cockroach,163,163,many,0.4049079754601227
25,couch,156,156,many,0.10897435897435898
26,crab,149,149,many,0.013422818791946308
27,crocodile,142,142,many,0.04225352112676056
28,cup,135,135,many,0.08888888888888889
29,dinosaur,129,129,many,0.15503875968992248
30,dolphin,123,123,many,0.35772357723577236
31,elephant,118,118,many,0.2966101694915254
32,flatfish,112,112,many,0.1875
33,forest,107,107,many,0.29906542056074764
34,fox,102,102,many,0.17647058823529413
35,girl,98,98,medium,0.2857142857142857
36,hamster,93,93,medium,0.3870967741935484
37,house,89,89,medium,0.47191011235955055
38,kangaroo,85,85,medium,0.24705882352941178
39,keyboard,81,81,medium,0.5432098765432098
40,lamp,77,77,medium,0.4935064935064935
41,lawn_mower,74,74,medium,0.6621621621621622
42,leopard,70,70,medium,0.4142857142857143
43,lion,67,67,medium,0.7014925373134329
44,lizard,64,64,medium,0.34375
45,lobster,61,61,medium,0.5901639344262295
46,man,58,58,medium,0.7758620689655172
47,maple_tree,56,56,medium,0.625
48,motorcycle,53,53,medium,0.8679245283018868
49,mountain,51,51,medium,0.6862745098039216
50,mouse,48,48,medium,0.6458333333333334
51,mushroom,46,46,medium,0.8043478260869565
52,oak_tree,44,44,medium,0.7272727272727273
53,orange,42,42,medium,0.8809523809523809
54,orchid,40,40,medium,0.9
55,otter,38,38,medium,0.7368421052631579
56,palm_tree,36,36,medium,0.8611111111111112
57,pear,35,35,medium,0.9714285714285714
58,pickup_truck,33,33,medium,0.9393939393939394
59,pine_tree,32,32,medium,0.875
60,plain,30,30,medium,0.9
61,plate,29,29,medium,1.0
62,poppy,27,27,medium,0.9259259259259259
63,porcupine,26,26,medium,1.0
64,possum,25,25,medium,1.0
65,rabbit,24,24,medium,0.9583333333333334
66,raccoon,23,23,medium,1.0
67,ray,22,22,medium,1.0
68,road,21,21,medium,1.0
69,rocket,20,20,medium,1.0
70,rose,19,19,few,1.0
71,sea,18,18,few,1.0
72,seal,17,17,few,1.0
73,shark,16,16,few,1.0
74,shrew,15,15,few,1.0
75,skunk,15,15,few,1.0
76,skyscraper,14,14,few,1.0
77,snail,13,13,few,1.0
78,snake,13,13,few,1.0
79,spider,12,12,few,1.0
80,squirrel,12,12,few,1.0
81,streetcar,11,11,few,1.0
82,sunflower,11,11,few,1.0
83,sweet_pepper,10,10,few,1.0
84,table,10,10,few,1.0
85,tank,9,9,few,1.0
86,telephone,9,9,few,1.0
87,television,8,8,few,1.0
88,tiger,8,8,few,1.0
89,tractor,7,7,few,1.0
90,train,7,7,few,1.0
91,trout,7,7,few,1.0
92,tulip,6,6,few,1.0
93,turtle,6,6,few,1.0
94,wardrobe,6,6,few,1.0
95,whale,6,6,few,1.0
96,willow_tree,5,5,few,1.0
97,wolf,5,5,few,1.0
98,woman,5,5,few,1.0
99,worm,5,5,few,1.0
